date,Change,label
2022-03-28,34.43017578125,up
2022-03-29,28.740234375,up
2022-03-30,-21.75,down
2022-03-31,-68.60986328125,down
2022-04-01,5.5400390625,up
2022-04-04,34.669921875,up
2022-04-05,-47.330078125,down
2022-04-06,-13.02001953125,down
2022-04-07,25.56005859375,up
2022-04-08,-5.8701171875,down
2022-04-11,-50.1103515625,down
2022-04-12,-40.1396484375,down
2022-04-13,52.2900390625,up
2022-04-14,-56.5302734375,down
2022-04-18,6.06005859375,up
2022-04-19,71.580078125,up
2022-04-20,-12.8095703125,down
2022-04-21,-95.509765625,down
2022-04-22,-114.05029296875,down
2022-04-25,40.7802734375,up
2022-04-26,-102.93994140625,down
2022-04-27,-2.56005859375,down
2022-04-28,64.919921875,up
2022-04-29,-121.81982421875,down
2022-05-02,24.77001953125,up
2022-05-03,15.7001953125,up
2022-05-04,118.98974609375,up
2022-05-05,-123.56005859375,down
2022-05-06,-4.830078125,down
2022-05-09,-90.030029296875,down
2022-05-10,-34.1298828125,down
2022-05-11,-54.900146484375,down
2022-05-12,26.130126953125,up
2022-05-13,59.989990234375,up
2022-05-16,-5.010009765625,down
2022-05-17,36.85009765625,up
2022-05-18,-128.300048828125,down
2022-05-19,1.7900390625,up
2022-05-20,-26.39990234375,down
2022-05-23,54.330078125,up
2022-05-24,-1.4599609375,down
2022-05-25,49.139892578125,up
2022-05-26,73.239990234375,up
2022-05-27,80.810302734375,up
2022-05-31,-18.93994140625,down
2022-06-01,-48.5498046875,down
2022-06-02,81.409912109375,up
2022-06-03,-29.02978515625,down
2022-06-06,-13.2900390625,down
2022-06-07,64.2099609375,up
2022-06-08,-31.35009765625,down
2022-06-09,-83.829833984375,down
2022-06-10,-73.52978515625,down
2022-06-13,-88.52001953125,down
2022-06-14,-28.0400390625,down
2022-06-15,25.93994140625,up
2022-06-16,-61.409912109375,down
2022-06-17,8.940185546875,up
2022-06-21,49.47998046875,up
2022-06-22,26.0,up
2022-06-23,21.02001953125,up
2022-06-24,89.989990234375,up
2022-06-27,-20.64990234375,down
2022-06-28,-91.449951171875,down
2022-06-29,-6.260009765625,down
2022-06-30,-0.610107421875,down
2022-07-01,44.330078125,up
2022-07-05,38.77978515625,up
2022-07-06,13.10009765625,up
2022-07-07,43.77001953125,up
2022-07-08,11.119873046875,up
2022-07-11,-26.510009765625,down
2022-07-12,-33.14990234375,down
2022-07-13,22.110107421875,up
2022-07-14,26.389892578125,up
2022-07-15,45.159912109375,up
2022-07-18,-52.93994140625,down
2022-07-19,75.9599609375,up
2022-07-20,24.579833984375,up
2022-07-21,43.47998046875,up
2022-07-22,-36.800048828125,down
2022-07-25,1.1201171875,up
2022-07-26,-32.169921875,down
2022-07-27,72.18017578125,up
2022-07-28,46.300048828125,up
2022-07-29,42.9599609375,up
2022-08-01,6.25,up
2022-08-02,-13.02001953125,down
2022-08-03,47.2099609375,up
2022-08-04,-2.91015625,down
2022-08-05,29.31982421875,up
2022-08-08,-15.8701171875,down
2022-08-09,-10.6396484375,down
2022-08-10,29.22021484375,up
2022-08-11,-20.1298828125,down
2022-08-12,55.1298828125,up
2022-08-15,27.77001953125,up
2022-08-16,14.740234375,up
2022-08-17,-6.35986328125,down
2022-08-18,10.6103515625,up
2022-08-19,-37.830078125,down
2022-08-22,-57.08984375,down
2022-08-23,-4.35986328125,down
2022-08-24,14.22021484375,up
2022-08-25,45.8603515625,up
2022-08-26,-141.080322265625,down
2022-08-29,-3.969970703125,down
2022-08-30,-55.090087890625,down
2022-08-31,-45.669921875,down
2022-09-01,30.1201171875,up
2022-09-02,-70.39990234375,down
2022-09-06,-22.699951171875,down
2022-09-07,70.440185546875,up
2022-09-08,46.239990234375,up
2022-09-09,44.420166015625,up
2022-09-12,26.740234375,up
2022-09-13,-104.43017578125,down
2022-09-14,5.280029296875,up
2022-09-15,-31.059814453125,down
2022-09-16,-7.619873046875,down
2022-09-19,49.97998046875,up
2022-09-20,-19.300048828125,down
2022-09-21,-81.469970703125,down
2022-09-22,-24.3701171875,down
2022-09-23,-33.909912109375,down
2022-09-26,-27.679931640625,down
2022-09-27,-39.14990234375,down
2022-09-28,67.10009765625,up
2022-09-29,-46.5400390625,down
2022-09-30,-47.85986328125,down
2022-10-03,68.64990234375,up
2022-10-04,64.469970703125,up
2022-10-05,30.030029296875,up
2022-10-06,-27.449951171875,down
2022-10-07,-67.080078125,down
2022-10-10,-35.1201171875,down
2022-10-11,-7.02001953125,down
2022-10-12,-13.800048828125,down
2022-10-13,149.539794921875,up
2022-10-14,-107.33984375,down
2022-10-17,39.300048828125,up
2022-10-18,-26.280029296875,down
2022-10-19,-7.9501953125,down
2022-10-20,-23.27001953125,down
2022-10-21,95.64990234375,up
2022-10-24,35.330078125,up
2022-10-25,59.670166015625,up
2022-10-26,4.630126953125,up
2022-10-27,-27.389892578125,down
2022-10-28,92.800048828125,up
2022-10-31,-9.8701171875,down
2022-11-01,-45.68994140625,down
2022-11-02,-93.2099609375,down
2022-11-03,-13.360107421875,down
2022-11-04,3.570068359375,up
2022-11-07,26.090087890625,up
2022-11-08,11.090087890625,up
2022-11-09,-62.369873046875,down
2022-11-10,96.480224609375,up
2022-11-11,29.2099609375,up
2022-11-14,-20.719970703125,down
2022-11-15,-14.679931640625,down
2022-11-16,-18.030029296875,down
2022-11-17,27.300048828125,up
2022-11-18,-1.0498046875,down
2022-11-21,-6.2900390625,down
2022-11-22,38.070068359375,up
2022-11-23,26.9599609375,up
2022-11-25,2.780029296875,up
2022-11-28,-41.420166015625,down
2022-11-29,-6.56005859375,down
2022-11-30,122.93017578125,up
2022-12-01,-10.56982421875,down
2022-12-02,31.530029296875,up
2022-12-05,-53.179931640625,down
2022-12-06,-55.369873046875,down
2022-12-07,0.639892578125,up
2022-12-08,15.719970703125,up
2022-12-09,-19.7900390625,down
2022-12-12,51.27001953125,up
2022-12-13,-49.72998046875,down
2022-12-14,-20.219970703125,down
2022-12-15,-62.6201171875,down
2022-12-16,-38.5498046875,down
2022-12-19,-36.130126953125,down
2022-12-20,11.150146484375,up
2022-12-21,38.949951171875,up
2022-12-22,-30.8701171875,down
2022-12-23,29.7099609375,up
2022-12-27,-14.090087890625,down
2022-12-28,-46.340087890625,down
2022-12-29,43.830078125,up
2022-12-30,10.43994140625,up
2023-01-03,-29.150146484375,down
2023-01-04,12.60986328125,up
2023-01-05,-31.639892578125,down
2023-01-06,71.7099609375,up
2023-01-09,-18.72998046875,down
2023-01-10,30.679931640625,up
2023-01-11,37.260009765625,up
2023-01-12,5.599853515625,up
2023-01-13,38.489990234375,up
2023-01-17,-8.31005859375,down
2023-01-18,-73.389892578125,down
2023-01-19,-12.989990234375,down
2023-01-20,63.570068359375,up
2023-01-23,41.670166015625,up
2023-01-24,15.2099609375,up
2023-01-25,33.510009765625,up
2023-01-26,24.349853515625,up
2023-01-27,16.840087890625,up
2023-01-30,-31.5,down
2023-01-31,55.75,up
2023-02-01,49.139892578125,up
2023-02-02,21.07958984375,up
2023-02-03,-0.2099609375,down
2023-02-06,-8.48974609375,down
2023-02-07,58.64990234375,up
2023-02-08,-35.6103515625,down
2023-02-09,-62.75,down
2023-02-10,21.5400390625,up
2023-02-13,40.669921875,up
2023-02-14,9.4296875,up
2023-02-15,28.10009765625,up
2023-02-16,-24.340087890625,down
2023-02-17,1.7001953125,up
2023-02-21,-55.010009765625,down
2023-02-22,-10.780029296875,down
2023-02-23,-6.280029296875,down
2023-02-24,-3.199951171875,down
2023-02-27,-10.1201171875,down
2023-02-28,-7.0400390625,down
2023-03-01,-11.9501953125,down
2023-03-02,42.670166015625,up
2023-03-03,47.619873046875,up
2023-03-06,-6.72998046875,down
2023-03-07,-61.889892578125,down
2023-03-08,4.4599609375,up
2023-03-09,-80.33984375,down
2023-03-10,-51.179931640625,down
2023-03-13,20.639892578125,up
2023-03-14,25.280029296875,up
2023-03-15,15.18994140625,up
2023-03-16,81.35009765625,up
2023-03-17,-42.050048828125,down
2023-03-20,34.10009765625,up
2023-03-21,26.980224609375,up
2023-03-22,-65.070068359375,down
2023-03-23,-10.489990234375,down
2023-03-24,31.780029296875,up
2023-03-27,-5.39990234375,down
2023-03-28,-2.85986328125,down
2023-03-29,28.280029296875,up
2023-03-30,4.090087890625,up
2023-03-31,53.130126953125,up
2023-04-03,22.3095703125,up
2023-04-04,-27.4296875,down
2023-04-05,-4.1201171875,down
2023-04-06,23.8701171875,up
2023-04-10,23.909912109375,up
2023-04-11,-1.35009765625,down
2023-04-12,-29.770263671875,down
2023-04-13,46.18017578125,up
2023-04-14,-2.4697265625,down
2023-04-17,14.14990234375,up
2023-04-18,-9.3896484375,down
2023-04-19,15.18994140625,up
2023-04-20,-0.68994140625,down
2023-04-21,1.3798828125,up
2023-04-24,4.97021484375,up
2023-04-25,-54.80029296875,down
2023-04-26,-31.7900390625,down
2023-04-27,60.06005859375,up
2023-04-28,39.85009765625,up
2023-05-01,1.080078125,up
2023-05-02,-44.52001953125,down
2023-05-03,-31.5,down
2023-05-04,-21.330078125,down
2023-05-05,51.52001953125,up
2023-05-08,1.14013671875,up
2023-05-09,-5.080078125,down
2023-05-10,-6.10009765625,down
2023-05-11,-1.6201171875,down
2023-05-12,-14.4599609375,down
2023-05-15,9.6298828125,up
2023-05-16,-18.05029296875,down
2023-05-17,35.919921875,up
2023-05-18,40.36962890625,up
2023-05-19,-12.169921875,down
2023-05-22,1.85009765625,up
2023-05-23,-31.2197265625,down
2023-05-24,-17.7197265625,down
2023-05-25,-4.43017578125,down
2023-05-26,49.2900390625,up
2023-05-30,-21.18994140625,down
2023-05-31,-10.91015625,down
2023-06-01,37.990234375,up
2023-06-02,41.3603515625,up
2023-06-05,-9.2001953125,down
2023-06-06,12.51025390625,up
2023-06-07,-17.9501953125,down
2023-06-08,25.240234375,up
2023-06-09,-6.02001953125,down
2023-06-12,30.6103515625,up
2023-06-13,16.39990234375,up
2023-06-14,6.2998046875,up
2023-06-15,60.509765625,up
2023-06-16,-31.3603515625,down
2023-06-20,-7.39990234375,down
2023-06-21,-14.31982421875,down
2023-06-22,26.490234375,up
2023-06-23,-5.83984375,down
2023-06-26,-16.02001953125,down
2023-06-27,41.05029296875,up
2023-06-28,9.3798828125,up
2023-06-29,21.5,up
2023-06-30,27.93994140625,up
2023-07-03,5.10986328125,up
2023-07-05,4.77978515625,up
2023-07-06,-11.0302734375,down
2023-07-07,-5.58984375,down
2023-07-10,15.2998046875,up
2023-07-11,23.7099609375,up
2023-07-12,4.47021484375,up
2023-07-13,18.5400390625,up
2023-07-14,-9.18994140625,down
2023-07-17,13.93017578125,up
2023-07-18,33.2001953125,up
2023-07-19,1.85009765625,up
2023-07-20,-19.509765625,down
2023-07-21,-13.8203125,down
2023-07-24,11.25,up
2023-07-25,12.27001953125,up
2023-07-26,7.7900390625,up
2023-07-27,-60.849609375,down
2023-07-28,16.47998046875,up
2023-07-31,4.14013671875,up
2023-08-01,-2.10009765625,down
2023-08-02,-37.5400390625,down
2023-08-03,7.6201171875,up
2023-08-04,-35.93017578125,down
2023-08-07,26.85986328125,up
2023-08-08,1.35009765625,up
2023-08-09,-33.85986328125,down
2023-08-10,-18.330078125,down
2023-08-11,13.35986328125,up
2023-08-14,31.59033203125,up
2023-08-15,-41.01025390625,down
2023-08-16,-29.4599609375,down
2023-08-17,-45.9599609375,down
2023-08-18,24.830078125,up
2023-08-21,19.490234375,up
2023-08-22,-27.7802734375,down
2023-08-23,39.56982421875,up
2023-08-24,-78.85009765625,down
2023-08-25,16.330078125,up
2023-08-28,7.2802734375,up
2023-08-29,64.8798828125,up
2023-08-30,14.5302734375,up
2023-08-31,-9.349609375,down
2023-09-01,-14.830078125,down
2023-09-05,-13.22998046875,down
2023-09-06,-24.8701171875,down
2023-09-07,16.59033203125,up
2023-09-08,6.1904296875,up
2023-09-11,6.47998046875,up
2023-09-12,-11.3701171875,down
2023-09-13,4.7900390625,up
2023-09-14,17.3203125,up
2023-09-15,-47.66015625,down
2023-09-18,8.39990234375,up
2023-09-19,-1.4599609375,down
2023-09-20,-50.60986328125,down
2023-09-21,-44.35986328125,down
2023-09-22,-21.68017578125,down
2023-09-25,26.81982421875,up
2023-09-26,-39.35009765625,down
2023-09-27,-8.1201171875,down
2023-09-28,30.05029296875,up
2023-09-29,-40.13037109375,down
2023-10-02,3.8701171875,up
2023-10-03,-40.2998046875,down
2023-10-04,29.919921875,up
2023-10-05,-1.1201171875,down
2023-10-06,73.7099609375,up
2023-10-09,46.64013671875,up
2023-10-10,18.490234375,up
2023-10-11,10.3603515625,up
2023-10-12,-31.330078125,down
2023-10-13,-32.71044921875,down
2023-10-16,31.259765625,up
2023-10-17,27.97021484375,up
2023-10-18,-42.75,down
2023-10-19,-43.35986328125,down
2023-10-20,-49.68994140625,down
2023-10-23,6.64013671875,up
2023-10-24,11.89013671875,up
2023-10-25,-45.64990234375,down
2023-10-26,-38.76025390625,down
2023-10-27,-35.56005859375,down
2023-10-30,27.4296875,up
2023-10-31,22.4697265625,up
2023-11-01,36.58984375,up
2023-11-02,49.52001953125,up
2023-11-03,24.10986328125,up
2023-11-06,1.7099609375,up
2023-11-07,12.169921875,up
2023-11-08,-1.59033203125,down
2023-11-09,-44.06005859375,down
2023-11-10,51.09033203125,up
2023-11-13,4.8896484375,up
2023-11-14,36.72998046875,up
2023-11-15,-2.419921875,down
2023-11-16,11.16015625,up
2023-11-17,4.47021484375,up
2023-11-20,35.6796875,up
2023-11-21,-0.580078125,down
2023-11-22,3.580078125,up
2023-11-24,3.5,up
2023-11-27,-4.4296875,down
2023-11-28,9.34033203125,up
2023-11-29,-21.259765625,down
2023-11-30,12.9296875,up
2023-12-01,35.19970703125,up
2023-12-04,5.40966796875,up
2023-12-05,9.93017578125,up
2023-12-06,-36.89013671875,down
2023-12-07,16.75,up
2023-12-08,28.169921875,up
2023-12-11,29.0498046875,up
2023-12-12,25.400390625,up
2023-12-13,60.8896484375,up
2023-12-14,-1.490234375,down
2023-12-15,4.9599609375,up
2023-12-18,14.97998046875,up
2023-12-19,24.64990234375,up
2023-12-20,-66.3798828125,down
2023-12-21,22.4599609375,up
2023-12-22,0.7099609375,up
2023-12-26,15.89013671875,up
2023-12-27,8.1298828125,up
2023-12-28,-3.08984375,down
2023-12-29,-13.0498046875,down
